2023/09/02 22:06:19 [error] 6792#19640: *26370 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/admin-ajax.php?action=oembed-cache&post=61 HTTP/1.0", upstream: "fastcgi://127.0.0.1:10008", host: "chill-beats.com", referrer: "https://chill-beats.com/wp-admin/post.php?post=61&action=edit"
2023/09/02 22:06:19 [error] 6792#19640: *26375 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-analytics/admin/notes?page=1&per_page=25&type=error%2Cupdate&status=unactioned&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "chill-beats.com", referrer: "https://chill-beats.com/wp-admin/post.php?post=61&action=edit"
2023/09/02 22:06:19 [error] 6792#19640: *26375 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-analytics/admin/notes?page=1&per_page=25&type=error%2Cupdate&status=unactioned&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "chill-beats.com", referrer: "https://chill-beats.com/wp-admin/post.php?post=61&action=edit"
2023/09/02 22:06:19 [error] 6792#19640: *26382 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_admin_transient_notices_queue%2Cwoocommerce_admin_install_timestamp%2Cwoocommerce_task_list_reminder_bar_hidden&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "chill-beats.com", referrer: "https://chill-beats.com/wp-admin/post.php?post=61&action=edit"
2023/09/02 22:06:19 [error] 6792#19640: *26382 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_admin_transient_notices_queue%2Cwoocommerce_admin_install_timestamp%2Cwoocommerce_task_list_reminder_bar_hidden&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "chill-beats.com", referrer: "https://chill-beats.com/wp-admin/post.php?post=61&action=edit"
2023/09/02 22:06:19 [error] 6792#19640: *26384 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-json/wc-admin/options?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "chill-beats.com", referrer: "https://chill-beats.com/wp-admin/post.php?post=61&action=edit"
2023/09/02 22:06:19 [error] 6792#19640: *26370 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/admin-ajax.php?action=oembed-cache&post=61 HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "chill-beats.com", referrer: "https://chill-beats.com/wp-admin/post.php?post=61&action=edit"
2023/09/02 22:06:19 [error] 6792#19640: *26386 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.0", upstream: "fastcgi://php", host: "chill-beats.com", referrer: "https://chill-beats.com/wp-admin/post-new.php?post_type=product"
2023/09/02 22:06:19 [error] 6792#19640: *26387 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "chill-beats.com", referrer: "https://chill-beats.com/"
2023/09/02 22:06:20 [error] 6792#19640: *26388 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_ces_shown_for_actions&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "chill-beats.com", referrer: "https://chill-beats.com/wp-admin/post.php?post=61&action=edit"
2023/09/02 22:06:25 [error] 6792#19640: *26389 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.0", upstream: "fastcgi://php", host: "chill-beats.com", referrer: "https://chill-beats.com/wp-admin/post.php?post=61&action=edit"
2023/09/02 22:06:25 [error] 6792#19640: *26390 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "chill-beats.com", referrer: "https://chill-beats.com/"
2023/09/04 15:31:26 [error] 6792#19640: *41118 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-analytics/products/reviews?page=1&per_page=1&status=hold&_embed=1&_fields%5B0%5D=id&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "chill-beats.com", referrer: "https://chill-beats.com/wp-admin/post.php?post=19&action=edit"
2023/09/04 15:31:26 [error] 6792#19640: *41122 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_ces_tracks_queue&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "chill-beats.com", referrer: "https://chill-beats.com/wp-admin/post.php?post=19&action=edit"
